participant_number 212
survey_language finnish
age 21-25
gender male
profession_activity yes
are_you_1 
are_you_2 
are_you_3 
are_you_4 
are_you_5 
are_you_6 other
other_activity Maanviljelijä
language_1 Suomi 
language_1_skill fluent 
language_1_mother yes 
language_2 Englanti 
language_2_skill good 
language_2_mother no 
language_3 Ruotsi 
language_3_skill average 
language_3_mother no 
language_4 Saksa 
language_4_skill average 
language_4_mother no 
language_5  
language_5_skill none 
language_5_mother no 
selected_language Suomi 
survey_start_at 1382042811
k_limp_regular_k_limp_sad_k_limp_slow_000_050_050 nilkuttaa_ varovasti_ _ _ 1382045393
t_limp_regular_t_limp_sad_t_limp_slow_000_050_050 nilkuttaa_ vaikeasti_ _ _ 1382045410
t_walk_fast_t_walk_angry_t_walk_regular_050_000_050 kävelee_ tavallisesti_ _ _ 1382045431
k_run_fast_k_run_slow_050_050 juoksee_ kiihdyttäen_ _ _ 1382045446
k_run_slow_k_limp_fast_k_walk_regular_050_000_050 kävelee_ nopeasti_ hermostuneesti_ _ 1382045485
t_limp_regular_t_limp_sad_t_limp_slow_050_000_050 nilkuttaa_ _ _ _ 1382045500
k_limp_angry_k_walk_angry_050_050 nilkuttaa_ vihaisesti_ _ _ 1382045514
t_limp_regular_t_limp_fast_t_limp_angry_050_050_000 nilkuttaa_ _ _ _ 1382045526
t_limp_regular_t_limp_fast_t_limp_angry_015_070_015 nilkuttaa_ _ _ _ 1382045583
t_limp_regular_t_limp_sad_t_limp_slow_070_015_015 nilkuttaa_ varovasti_ _ _ 1382045611
t_walk_fast_t_walk_angry_t_walk_regular_015_070_015 kävelee_ määrätietoisesti_ rytmikkäästi_ _ 1382045641
k_walk_regular_k_walk_sad_k_walk_slow_033_033_033 kävelee_ hitaasti_ _ _ 1382045668
t_limp_regular_t_limp_sad_t_limp_slow_033_033_033 nilkuttaa_ varovasti_ hitaasti_ _ 1382045694
t_limp_sad_t_walk_sad_025_075 kävelee_ allapäin_ surullisesti_ _ 1382045714
k_walk_fast_k_walk_angry_k_walk_regular_070_015_015 kävelee_ määrätietoisesti_ _ _ 1382045739
t_walk_regular_t_walk_sad_t_walk_slow_015_015_070 kävelee_ leveästi_ varovasti_ _ 1382045761
t_run_slow_t_limp_fast_t_walk_regular_015_070_015 nilkuttaa_ kiiruhtaen_ _ _ 1382045773
k_limp_regular_k_limp_sad_k_limp_slow_015_070_015 nilkuttaa_ hyvin_varovasti_ hyvin_vaikeasti_ _ 1382045789
k_limp_regular_k_limp_fast_k_limp_angry_070_015_015 nilkuttaa_ määrätietoisesti_ _ _ 1382045803
k_run_fast_k_run_slow_075_025 juoksee_ hyvin_nopeasti_ _ _ 1382045820
k_limp_regular_k_limp_sad_k_limp_slow_015_015_070 nilkuttaa_ erittäin_varovasti_ _ _ 1382045837
t_walk_regular_t_walk_sad_t_walk_slow_033_033_033 kävelee_ allapäin_ _ _ 1382045858
t_limp_regular_t_limp_fast_t_limp_angry_070_015_015 nilkuttaa_ lievästi_ _ _ 1382045878
t_run_slow_t_limp_fast_t_walk_regular_033_033_033 kävelee_ hermostuneesti_ _ _ 1382045902
k_limp_angry_k_limp_sad_025_075 nilkuttaa_ allapäin_ vaikeasti_ _ 1382045921
k_limp_slow_k_walk_slow_025_075 kävelee_ tutkivasti_ hitaasti_ _ 1382045955
t_limp_sad_t_walk_sad_075_025 nilkuttaa_ hyvin_vaikeasti_ hyvin_surullisesti_ _ 1382045977
t_run_slow_t_limp_fast_t_walk_regular_070_015_015 hölkkää_ kiiruhtaen_ _ _ 1382045997
k_walk_regular_k_walk_sad_k_walk_slow_015_070_015 kävelee_ epäluuloisesti_ _ _ 1382046040
t_limp_regular_t_limp_sad_t_limp_slow_015_015_070 nilkuttaa_ tutkivasti_ epäluuloisesti_ _ 1382046061
k_limp_angry_k_walk_angry_025_075 kävelee_ raivoisasti_ _ _ 1382046078
t_walk_fast_t_walk_angry_t_walk_regular_033_033_033 kävelee_ tavallisesti_ _ _ 1382046105
k_run_slow_k_limp_fast_k_walk_regular_033_033_033 kävelee_ nopeasti_ _ _ 1382046132
k_walk_fast_k_walk_angry_k_walk_regular_015_015_070 kävelee_ nopeasti_ _ _ 1382046152
t_limp_angry_t_limp_sad_075_025 nilkuttaa_ varovasti_ kipeästi_ _ 1382046172
k_run_slow_k_limp_fast_k_walk_regular_070_015_015 hölkkää_ kiiruhtaen_ _ _ 1382046193
t_limp_slow_t_walk_slow_025_075 kävelee_ leveästi_ hitaasti_ _ 1382046214
k_run_fast_k_run_slow_025_075 juoksee_ _ _ _ 1382046224
k_limp_regular_k_limp_sad_k_limp_slow_033_033_033 nilkuttaa_ hyvin_kipeästi_ hyvin_varovasti_ _ 1382046246
k_limp_regular_k_limp_fast_k_limp_angry_015_015_070 nilkuttaa_ määrätietoisesti_ _ _ 1382046264
k_limp_regular_k_limp_fast_k_limp_angry_033_033_033 nilkuttaa_ määrätietoisesti_ _ _ 1382046275
t_walk_regular_t_walk_sad_t_walk_slow_015_070_015 kävelee_ surullisesti_ keinahdellen_ _ 1382046300
t_run_slow_t_limp_fast_t_walk_regular_015_015_070 kävelee_ normaalisti_ _ _ 1382046326
k_run_slow_k_limp_fast_k_walk_regular_015_070_015 nilkuttaa_ kiireesti_ _ _ 1382046338
t_run_fast_t_run_slow_025_075 hölkkää_ hyvin_nopeasti_ _ _ 1382046352
t_limp_regular_t_limp_sad_t_limp_slow_015_070_015 nilkuttaa_ hyvin_hitaasti_ hyvin_surullisesti_ _ 1382046373
t_walk_regular_t_walk_sad_t_walk_slow_070_015_015 kävelee_ leveästi_ surullisesti_ _ 1382046398
k_limp_angry_k_walk_angry_075_025 nilkuttaa_ määrätietoisesti_ _ _ 1382046413
k_limp_regular_k_limp_sad_k_limp_slow_070_015_015 nilkuttaa_ määrätietoisesti_ _ _ 1382046428
k_limp_slow_k_walk_slow_075_025 nilkuttaa_ varovasti_ _ _ 1382046441
t_run_fast_t_run_slow_075_025 juoksee_ nopeasti_ _ _ 1382046454
k_walk_regular_k_walk_sad_k_walk_slow_015_015_070 kävelee_ hitaasti_ allapäin_ _ 1382046485
t_walk_fast_t_walk_angry_t_walk_regular_015_015_070 kävelee_ määrätietoisesti_ _ _ 1382046498
k_run_slow_k_limp_fast_k_walk_regular_015_015_070 kävelee_ nilkuttaen_ määrätietoisesti_ _ 1382046515
